host,cpu_usage,memory_usage,latency,timestamp
hydra-node-01,78.3,39.0,205.4,2025-10-31T00:00:00Z
hydra-node-01,67.2,40.6,171.8,2025-10-31T00:05:00Z
hydra-node-01,60.5,60.3,155.8,2025-10-31T00:10:00Z
hydra-node-01,51.7,59.3,144.9,2025-10-31T00:15:00Z
hydra-node-01,60.6,47.1,153.6,2025-10-31T00:20:00Z
hydra-node-01,64.2,55.6,173.7,2025-10-31T00:25:00Z
hydra-node-01,59.7,41.9,150.9,2025-10-31T00:30:00Z
hydra-node-01,64.5,63.3,176.1,2025-10-31T00:35:00Z
hydra-node-01,62.2,42.3,172.5,2025-10-31T00:40:00Z
hydra-node-01,71.6,50.3,175.8,2025-10-31T00:45:00Z
hydra-node-01,49.0,35.7,141.9,2025-10-31T00:50:00Z
hydra-node-01,64.6,47.5,165.5,2025-10-31T00:55:00Z
hydra-node-01,58.3,48.1,148.5,2025-10-31T01:00:00Z
hydra-node-01,77.5,38.6,197.8,2025-10-31T01:05:00Z
hydra-node-01,69.7,37.3,174.9,2025-10-31T01:10:00Z
hydra-node-01,74.7,40.1,190.5,2025-10-31T01:15:00Z
hydra-node-01,47.5,36.8,134.1,2025-10-31T01:20:00Z
hydra-node-01,60.8,58.5,165.9,2025-10-31T01:25:00Z
hydra-node-01,73.6,37.0,188.3,2025-10-31T01:30:00Z
hydra-node-01,65.0,53.2,165.5,2025-10-31T01:35:00Z
hydra-node-01,76.8,53.7,203.3,2025-10-31T01:40:00Z
hydra-node-01,49.4,54.1,144.8,2025-10-31T01:45:00Z
hydra-node-01,43.4,60.3,130.3,2025-10-31T01:50:00Z
hydra-node-01,54.1,58.3,158.1,2025-10-31T01:55:00Z
hydra-node-01,47.0,57.4,139.3,2025-10-31T02:00:00Z
hydra-node-01,60.1,40.3,167.8,2025-10-31T02:05:00Z
hydra-node-01,61.1,65.0,159.0,2025-10-31T02:10:00Z
hydra-node-01,57.2,52.0,156.0,2025-10-31T02:15:00Z
hydra-node-01,71.6,47.4,174.4,2025-10-31T02:20:00Z
hydra-node-01,46.0,58.8,130.8,2025-10-31T02:25:00Z
hydra-node-01,47.2,44.3,139.6,2025-10-31T02:30:00Z
hydra-node-01,65.8,55.1,161.8,2025-10-31T02:35:00Z
hydra-node-01,72.4,46.7,188.7,2025-10-31T02:40:00Z
hydra-node-01,54.8,59.0,155.3,2025-10-31T02:45:00Z
hydra-node-01,52.3,49.8,135.1,2025-10-31T02:50:00Z
hydra-node-01,59.4,35.8,162.6,2025-10-31T02:55:00Z
hydra-node-01,82.4,53.0,200.8,2025-10-31T03:00:00Z
hydra-node-01,75.2,49.0,191.1,2025-10-31T03:05:00Z
hydra-node-01,64.1,56.5,175.2,2025-10-31T03:10:00Z
hydra-node-01,62.1,44.9,165.3,2025-10-31T03:15:00Z
hydra-node-01,70.9,51.0,175.1,2025-10-31T03:20:00Z
hydra-node-01,52.2,45.3,153.9,2025-10-31T03:25:00Z
hydra-node-01,68.2,40.2,169.2,2025-10-31T03:30:00Z
hydra-node-01,64.6,59.2,177.3,2025-10-31T03:35:00Z
hydra-node-01,77.6,45.3,197.2,2025-10-31T03:40:00Z
hydra-node-01,53.7,35.5,137.8,2025-10-31T03:45:00Z
hydra-node-01,67.6,38.7,182.6,2025-10-31T03:50:00Z
